Stimulus(s),S21(Real),S21(Imag)
0.00000000000E+00,-1.36538643159E-08,+2.70174989031E-07
1.00010001000E-10,+2.80633395787E-08,-3.49266750986E-07
2.00020002000E-10,+1.54287309803E-08,+4.31665781480E-07
3.00030003000E-10,-1.04467498472E-07,-4.69635182463E-07
4.00040004000E-10,+1.92584376568E-07,+4.35676952217E-07
5.00050005001E-10,-2.22682228027E-07,-3.43196625930E-07
6.00060006001E-10,+1.60719264763E-07,+2.43998091667E-07
7.00070007001E-10,-1.92024354130E-08,-1.99509320855E-07
8.00080008001E-10,-1.48703453583E-07,+2.39039524912E-07
9.00090009001E-10,+2.90224793815E-07,-3.31347944812E-07
1.00010001000E-09,-4.13555640683E-07,+3.96869608864E-07
1.10011001100E-09,+6.32674606615E-07,-3.72789692240E-07
1.20012001200E-09,-1.15476120422E-06,+3.14940597076E-07
1.30013001300E-09,+2.18348383610E-06,-4.90131563342E-07
1.40014001400E-09,-3.74708680846E-06,+1.39526945890E-06
1.50015001500E-09,+5.50561735930E-06,-3.64879990161E-06
1.60016001600E-09,-6.62785327766E-06,+7.74010976922E-06
1.70017001700E-09,+5.83532538417E-06,-1.36849498533E-05
1.80018001800E-09,-1.67565921192E-06,+2.06984375525E-05
1.90019001900E-09,-6.98732533007E-06,-2.70342172928E-05
2.00020002000E-09,+2.03737601903E-05,+3.01253069549E-05
2.10021002100E-09,-3.72660132674E-05,-2.70902464817E-05
2.20022002200E-09,+5.47845379923E-05,+1.55502500837E-05
2.30023002300E-09,-6.86382900529E-05,+5.42691949337E-06
2.40024002400E-09,+7.39087725002E-05,-3.45367399009E-05
2.50025002500E-09,-6.62597754412E-05,+6.79013626678E-05
2.60026002600E-09,+4.32983490557E-05,-9.94070521056E-05
2.70027002700E-09,-5.70466987472E-06,+1.21766055592E-04
2.80028002800E-09,-4.22536457631E-05,-1.28135288822E-04
2.90029002900E-09,+9.30858648042E-05,+1.13923361213E-04
3.00030003000E-09,-1.37361200740E-04,-7.83023583931E-05
3.10031003100E-09,+1.65684796658E-04,+2.49600019964E-05
3.20032003200E-09,-1.70911534644E-04,+3.82088839571E-05
3.30033003300E-09,+1.50025792334E-04,-1.00501402548E-04
3.40034003400E-09,-1.05157499708E-04,+1.50620858073E-04
3.50035003500E-09,+4.34057145687E-05,-1.79182984737E-04
3.60036003600E-09,+2.45499450918E-05,+1.80878808450E-04
3.70037003700E-09,-8.67393121167E-05,-1.55723801195E-04
3.80038003800E-09,+1.32528365515E-04,+1.09053051186E-04
3.90039003900E-09,-1.54917564372E-04,-5.02542370090E-05
4.00040004000E-09,+1.51932625053E-04,-9.43149219873E-06
4.10041004100E-09,-1.26776787744E-04,+5.94650227854E-05
4.20042004200E-09,+8.67513015780E-05,-9.22638205374E-05
4.30043004300E-09,-4.12785465324E-05,+1.04601859812E-04
4.40044004400E-09,-4.14913171881E-07,-9.78556204917E-05
4.50045004500E-09,+3.13409068169E-05,+7.71227962648E-05
4.60046004600E-09,-4.80211108395E-05,-4.95402175037E-05
4.70047004700E-09,+5.07393968149E-05,+2.23156549162E-05
4.80048004800E-09,-4.28261926831E-05,-1.01708373616E-06
4.90049004900E-09,+2.92844657656E-05,-1.14641112807E-05
5.00050005001E-09,-1.52124455037E-05,+1.50925987190E-05
5.10051005101E-09,+4.47813356436E-06,-1.20887343635E-05
5.20052005201E-09,+1.03063625294E-06,+5.83461234396E-06
5.30053005301E-09,-1.46628049305E-06,+3.27276836076E-07
5.40054005401E-09,-1.50671608816E-06,-4.04309769968E-06
5.50055005501E-09,+5.57039176467E-06,+4.41447833549E-06
5.60056005601E-09,-8.62795574920E-06,-1.93343039788E-06
5.70057005701E-09,+9.42759018711E-06,-1.99559941665E-06
5.80058005801E-09,-7.79082535104E-06,+5.72132742601E-06
5.90059005901E-09,+4.44902076987E-06,-7.95435574083E-06
6.00060006001E-09,-6.14638107818E-07,+8.13543112124E-06
6.10061006101E-09,-2.52349046831E-06,-6.48921311251E-06
6.20062006201E-09,+4.20068368355E-06,+3.80478184007E-06
6.30063006301E-09,-4.25883771059E-06,-1.06653857903E-06
6.40064006401E-09,+3.08953717640E-06,-9.13183203711E-07
6.50065006501E-09,-1.40056658428E-06,+1.73591491755E-06
6.60066006601E-09,-8.29530162108E-08,-1.47370849008E-06
6.70067006701E-09,+8.69020088563E-07,+5.54516651645E-07
6.80068006801E-09,-8.23623693939E-07,+4.53799344486E-07
6.90069006901E-09,+1.49522489121E-07,-1.06850680714E-06
7.00070007001E-09,+7.47709573030E-07,+1.04694874509E-06
7.10071007101E-09,-1.44005653046E-06,-4.30435161090E-07
7.20072007201E-09,+1.63329618296E-06,-5.18268022878E-07
7.30073007301E-09,-1.24948352707E-06,+1.44326724023E-06
7.40074007401E-09,+4.20472338354E-07,-2.03365488431E-06
7.50075007501E-09,+5.89251176591E-07,+2.12215068662E-06
7.60076007601E-09,-1.49109769222E-06,-1.71764399709E-06
7.70077007701E-09,+2.06939846651E-06,+9.72713614509E-07
7.80078007801E-09,-2.23602217280E-06,-1.09386143696E-07
7.90079007901E-09,+2.03209882602E-06,-6.63630699984E-07
8.00080008001E-09,-1.58654325922E-06,+1.21239310157E-06
8.10081008101E-09,+1.05407651466E-06,-1.50102850736E-06
8.20082008201E-09,-5.58180136428E-07,+1.57642051966E-06
8.30083008301E-09,+1.57936295724E-07,-1.52719718020E-06
8.40084008401E-09,+1.54014441582E-07,+1.43646276721E-06
8.50085008501E-09,-4.27196783133E-07,-1.34648165504E-06
8.60086008601E-09,+7.15828778522E-07,+1.24642565125E-06
8.70087008701E-09,-1.04390364349E-06,-1.08471275779E-06
8.80088008801E-09,+1.38570437442E-06,+7.98849951208E-07
8.90089008901E-09,-1.66807210925E-06,-3.50500020292E-07
9.00090009001E-09,+1.79300501095E-06,-2.47290811222E-07
9.10091009101E-09,-1.67258442482E-06,+9.20530296761E-07
9.20092009201E-09,+1.26446793321E-06,-1.54629020626E-06
9.30093009301E-09,-5.96011963426E-07,+1.98338930716E-06
9.40094009401E-09,-2.31640585684E-07,-2.11297417041E-06
9.50095009501E-09,+1.06235108917E-06,+1.87680838415E-06
9.60096009601E-09,-1.72263127221E-06,-1.30109970817E-06
9.70097009701E-09,+2.06806155013E-06,+4.97324682988E-07
9.80098009801E-09,-2.02495956402E-06,+3.62022798936E-07
9.90099009901E-09,+1.61423394879E-06,-1.08721551297E-06
1.00010001000E-08,-9.48955295580E-07,+1.52256077206E-06
1.01010101010E-08,+2.04852887682E-07,-1.58991149855E-06
