Stimulus(s),S21(Real),S21(Imag)
0.00000000000E+00,+3.09538194384E-07,+1.13051832972E-07
2.00040008002E-10,+6.49954997227E-07,-1.50985311950E-07
4.00080016003E-10,+5.35205231471E-07,-4.99559489167E-07
6.00120024005E-10,+2.30801032625E-07,-3.67928294966E-07
8.00160032006E-10,+3.51280959100E-07,+6.23126857370E-08
1.00020004001E-09,+6.21775922993E-07,+1.70636610074E-07
1.20024004801E-09,+6.64461885200E-08,+6.75695346124E-07
1.40028005601E-09,-2.71964946817E-07,+4.01007069873E-06
1.60032006401E-09,+4.72069709551E-06,+1.05666487898E-05
1.80036007201E-09,+2.04970681234E-05,+1.34061079197E-05
2.00040008002E-09,+4.34981132886E-05,-8.54072095962E-07
2.20044008802E-09,+5.52740640801E-05,-4.04135793934E-05
2.40048009602E-09,+3.09250932663E-05,-9.31644429213E-05
2.60052010402E-09,-3.88909121867E-05,-1.24333249006E-04
2.80056011202E-09,-1.29604031194E-04,-9.66324313739E-05
3.00060012002E-09,-1.88789694195E-04,-2.10854519080E-06
3.20064012803E-09,-1.69515466683E-04,+1.21130951060E-04
3.40068013603E-09,-6.78525780329E-05,+2.06890337392E-04
3.60072014403E-09,+6.74738197467E-05,+2.04817817255E-04
3.80076015203E-09,+1.65119170654E-04,+1.16831340060E-04
4.00080016003E-09,+1.79228322435E-04,-4.05170119555E-06
4.20084016803E-09,+1.17862089144E-04,-9.19559906108E-05
4.40088017604E-09,+3.07025245434E-05,-1.12304313932E-04
4.60092018404E-09,-3.06766695798E-05,-7.78185426342E-05
4.80096019204E-09,-4.61227600245E-05,-2.84892277345E-05
5.00100020004E-09,-3.01411060318E-05,+2.52360246227E-06
5.20104020804E-09,-9.80882271188E-06,+8.14174038188E-06
5.40108021604E-09,-1.20053998226E-06,+1.36892435432E-06
5.60112022404E-09,-2.97642015336E-06,-3.24277973804E-06
5.80116023205E-09,-6.08992140735E-06,-1.51144904788E-06
6.00120024005E-09,-5.37620459096E-06,+2.29463445059E-06
6.20124024805E-09,-2.25886825445E-06,+3.82535101641E-06
6.40128025605E-09,+5.47649055811E-08,+3.03564889884E-06
6.60132026405E-09,+8.86791276160E-07,+2.04809888869E-06
6.80136027205E-09,+1.54845609728E-06,+1.56724459539E-06
7.00140028006E-09,+2.50443581204E-06,+5.80948992401E-07
7.20144028806E-09,+2.60255474119E-06,-1.36160255046E-06
7.40148029606E-09,+9.34416396471E-07,-2.98994513071E-06
7.60152030406E-09,-1.59764258369E-06,-2.72108807085E-06
7.80156031206E-09,-3.05976727285E-06,-5.55788843132E-07
