Stimulus(Hz),S11(dB)
1.00000000000E+05,-3.06610521432E-02
1.89999899999E+05,-2.24733793170E-02
2.79999799998E+05,-2.24921509110E-02
3.69999699997E+05,-2.32070968621E-02
4.59999599996E+05,-2.33786042640E-02
5.49999499995E+05,-2.29803815027E-02
6.39999399994E+05,-2.28549678071E-02
7.29999299993E+05,-2.23811164326E-02
8.19999199992E+05,-2.15081246503E-02
9.09999099991E+05,-2.10362710376E-02
9.99998999990E+05,-2.04478701243E-02
1.08999889999E+06,-1.99689122149E-02
1.17999879999E+06,-1.97038867087E-02
1.26999869999E+06,-1.98029096529E-02
1.35999859999E+06,-1.98385168390E-02
1.44999849998E+06,-1.92852384630E-02
1.53999839998E+06,-1.87255905472E-02
1.62999829998E+06,-1.89829807787E-02
1.71999819998E+06,-1.83170585602E-02
1.80999809998E+06,-1.87954469634E-02
1.89999799998E+06,-1.85327225142E-02
1.98999789998E+06,-1.85841312447E-02
2.07999779998E+06,-1.88176854141E-02
2.16999769998E+06,-1.86854043541E-02
2.25999759998E+06,-1.88354491904E-02
2.34999749997E+06,-1.88227433667E-02
2.43999739997E+06,-1.88517119495E-02
2.52999729997E+06,-1.90148615072E-02
2.61999719997E+06,-1.89340211204E-02
2.70999709997E+06,-1.92968421929E-02
2.79999699997E+06,-1.90695043269E-02
2.88999689997E+06,-1.97445381816E-02
2.97999679997E+06,-1.96349056020E-02
3.06999669997E+06,-1.97797051420E-02
3.15999659997E+06,-2.01910962759E-02
3.24999649996E+06,-2.03480790896E-02
3.33999639996E+06,-2.01931152081E-02
3.42999629996E+06,-2.02018127055E-02
3.51999619996E+06,-2.06466544209E-02
3.60999609996E+06,-2.07158267473E-02
3.69999599996E+06,-2.17012126106E-02
3.78999589996E+06,-2.31308594874E-02
3.87999579996E+06,-2.13816754437E-02
3.96999569996E+06,-2.15255426568E-02
4.05999559996E+06,-2.31040809054E-02
4.14999549995E+06,-2.34667758888E-02
4.23999539995E+06,-2.33484012416E-02
4.32999529995E+06,-2.22527754239E-02
4.41999519995E+06,-2.28290409497E-02
4.50999509995E+06,-2.30954246263E-02
4.59999499995E+06,-2.31928261369E-02
4.68999489995E+06,-2.36275608806E-02
4.77999479995E+06,-2.39374564111E-02
4.86999469995E+06,-2.39299822589E-02
4.95999459995E+06,-2.44139707995E-02
5.04999449994E+06,-2.44946613715E-02
5.13999439994E+06,-2.45333726810E-02
5.22999429994E+06,-2.47457444546E-02
5.31999419994E+06,-2.53925962124E-02
5.40999409994E+06,-2.53889922288E-02
5.49999399994E+06,-2.52535747573E-02
5.58999389994E+06,-2.59371323340E-02
5.67999379994E+06,-2.61192865326E-02
5.76999369994E+06,-2.62322011002E-02
5.85999359994E+06,-2.65299440084E-02
5.94999349993E+06,-2.69073816223E-02
6.03999339993E+06,-2.69167261804E-02
6.12999329993E+06,-2.70971530107E-02
6.21999319993E+06,-2.76022726805E-02
6.30999309993E+06,-2.77264586591E-02
6.39999299993E+06,-2.76056736467E-02
6.48999289993E+06,-2.79457674007E-02
6.57999279993E+06,-2.83558466385E-02
6.66999269993E+06,-2.82914280997E-02
6.75999259993E+06,-2.86187058770E-02
6.84999249992E+06,-2.91890204928E-02
6.93999239992E+06,-2.95061930018E-02
7.02999229992E+06,-2.94272686743E-02
7.11999219992E+06,-2.96939650553E-02
7.20999209992E+06,-3.01627251779E-02
7.29999199992E+06,-3.02301059938E-02
