Stimulus(s),S21(dB)
0.00000000000E+00,-1.31356019409E+02
1.00010001000E-10,-1.29108907138E+02
2.00020002000E-10,-1.27291502912E+02
3.00030003000E-10,-1.26355040447E+02
4.00040004000E-10,-1.26441594773E+02
5.00050005001E-10,-1.27763190139E+02
6.00060006001E-10,-1.30687163356E+02
7.00070007001E-10,-1.33960689500E+02
8.00080008001E-10,-1.31009864178E+02
9.00090009001E-10,-1.27121492659E+02
1.00010001000E-09,-1.24834200033E+02
1.10011001100E-09,-1.22682103999E+02
1.20012001200E-09,-1.18438565557E+02
1.30013001300E-09,-1.13003503694E+02
1.40014001400E-09,-1.07962211698E+02
1.50015001500E-09,-1.03602589530E+02
1.60016001600E-09,-9.98364477981E+01
1.70017001700E-09,-9.65496192381E+01
1.80018001800E-09,-9.36528786029E+01
1.90019001900E-09,-9.10808827384E+01
2.00020002000E-09,-8.87856352760E+01
2.10021002100E-09,-8.67312422901E+01
2.20022002200E-09,-8.48903217667E+01
2.30023002300E-09,-8.32416061249E+01
2.40024002400E-09,-8.17683281629E+01
2.50025002500E-09,-8.04571151117E+01
2.60026002600E-09,-7.92972161789E+01
2.70027002700E-09,-7.82799534914E+01
2.80028002800E-09,-7.73983262871E+01
2.90029002900E-09,-7.66467229772E+01
3.00030003000E-09,-7.60207113028E+01
3.10031003100E-09,-7.55168868833E+01
3.20032003200E-09,-7.51327671570E+01
3.30033003300E-09,-7.48667223793E+01
3.40034003400E-09,-7.47179387984E+01
3.50035003500E-09,-7.46864119379E+01
3.60036003600E-09,-7.47729705166E+01
3.70037003700E-09,-7.49793343226E+01
3.80038003800E-09,-7.53082128026E+01
3.90039003900E-09,-7.57634558836E+01
4.00040004000E-09,-7.63502756646E+01
4.10041004100E-09,-7.70755689335E+01
4.20042004200E-09,-7.79483893483E+01
4.30043004300E-09,-7.89806511095E+01
4.40044004400E-09,-8.01882064210E+01
4.50045004500E-09,-8.15925560148E+01
4.60046004600E-09,-8.32236930438E+01
4.70047004700E-09,-8.51251166430E+01
4.80048004800E-09,-8.73633618501E+01
4.90049004900E-09,-9.00480116911E+01
5.00050005001E-09,-9.33799335938E+01
5.10051005101E-09,-9.77939203188E+01
5.20052005201E-09,-1.04546321077E+02
5.30053005301E-09,-1.16464513905E+02
