Stimulus(Hz),S21(dB)
3.90000000000E+09,-7.83341889075E+01
3.90010001000E+09,-7.83971639546E+01
3.90020002000E+09,-7.83589995476E+01
3.90030003000E+09,-7.83444810721E+01
3.90040004000E+09,-7.83807773643E+01
3.90050005001E+09,-7.83229933442E+01
3.90060006001E+09,-7.82922686118E+01
3.90070007001E+09,-7.83315964238E+01
3.90080008001E+09,-7.82606741884E+01
3.90090009001E+09,-7.83065857743E+01
3.90100010001E+09,-7.82650240437E+01
3.90110011001E+09,-7.82247958445E+01
3.90120012001E+09,-7.81620945871E+01
3.90130013001E+09,-7.81555698889E+01
3.90140014001E+09,-7.81778646479E+01
3.90150015002E+09,-7.80789227872E+01
3.90160016002E+09,-7.80612610181E+01
3.90170017002E+09,-7.81399323898E+01
3.90180018002E+09,-7.81210407281E+01
3.90190019002E+09,-7.80410769368E+01
3.90200020002E+09,-7.80297611128E+01
3.90210021002E+09,-7.80605494185E+01
3.90220022002E+09,-7.81082453587E+01
3.90230023002E+09,-7.80997530160E+01
3.90240024002E+09,-7.81555477193E+01
3.90250025003E+09,-7.81504560648E+01
3.90260026003E+09,-7.81277677115E+01
3.90270027003E+09,-7.81485691442E+01
3.90280028003E+09,-7.82097858584E+01
3.90290029003E+09,-7.81801093763E+01
3.90300030003E+09,-7.82189665523E+01
3.90310031003E+09,-7.82980732567E+01
3.90320032003E+09,-7.83027897836E+01
3.90330033003E+09,-7.83103654909E+01
3.90340034003E+09,-7.82922680386E+01
3.90350035004E+09,-7.83224622887E+01
3.90360036004E+09,-7.83598144586E+01
3.90370037004E+09,-7.83532574702E+01
3.90380038004E+09,-7.82686774933E+01
3.90390039004E+09,-7.83351508773E+01
3.90400040004E+09,-7.82957025343E+01
3.90410041004E+09,-7.82788841963E+01
3.90420042004E+09,-7.83166162483E+01
3.90430043004E+09,-7.83101195673E+01
3.90440044004E+09,-7.82066710268E+01
3.90450045005E+09,-7.81980766260E+01
3.90460046005E+09,-7.81874523975E+01
3.90470047005E+09,-7.81715684562E+01
3.90480048005E+09,-7.81580640293E+01
3.90490049005E+09,-7.81696339386E+01
