! CMT, C1209, , 23.2.4/2
! Date: 9/11/2023 9:06:22 AM
! Stimulus(Hz),    S21(Real),         S21(Imag)
3.90000000000E+09,+4.44614718478E-05,+1.12686640158E-04
3.90010001000E+09,+4.40876502107E-05,+1.11893337387E-04
3.90020002000E+09,+4.42843618347E-05,+1.12385047272E-04
3.90030003000E+09,+4.43380187302E-05,+1.12581102800E-04
3.90040004000E+09,+4.44013167357E-05,+1.12013571844E-04
3.90050005001E+09,+4.48766903288E-05,+1.12690121020E-04
3.90060006001E+09,+4.44207970372E-05,+1.13332393765E-04
3.90070007001E+09,+4.44634065567E-05,+1.12724751575E-04
3.90080008001E+09,+4.40888087193E-05,+1.13937719140E-04
3.90090009001E+09,+4.44739155965E-05,+1.13096162884E-04
3.90100010001E+09,+4.49595695995E-05,+1.13531150378E-04
3.90110011001E+09,+4.46645787839E-05,+1.14256369739E-04
3.90120012001E+09,+4.63453670804E-05,+1.14544322912E-04
3.90130013001E+09,+4.63698278605E-05,+1.14634592736E-04
3.90140014001E+09,+4.62284989610E-05,+1.14349811075E-04
3.90150015002E+09,+4.79024429051E-05,+1.15190590481E-04
3.90160016002E+09,+4.82680365787E-05,+1.15313203807E-04
3.90170017002E+09,+4.82813237101E-05,+1.14084716404E-04
3.90180018002E+09,+4.97504820324E-05,+1.13746208872E-04
3.90190019002E+09,+5.00186387499E-05,+1.14881983855E-04
3.90200020002E+09,+5.10922094717E-05,+1.14587436405E-04
3.90210021002E+09,+5.10342586513E-05,+1.14127137370E-04
3.90220022002E+09,+5.22514385805E-05,+1.12820990852E-04
3.90230023002E+09,+5.34454304349E-05,+1.12394986519E-04
3.90240024002E+09,+5.29995090523E-05,+1.11724576015E-04
3.90250025003E+09,+5.44056334184E-05,+1.11127376987E-04
3.90260026003E+09,+5.47834618055E-05,+1.11302411993E-04
3.90270027003E+09,+5.41505448651E-05,+1.11281797085E-04
3.90280028003E+09,+5.41120510406E-05,+1.10333277308E-04
3.90290029003E+09,+5.49421418083E-05,+1.10392270601E-04
3.90300030003E+09,+5.47967647419E-05,+1.09849764617E-04
3.90310031003E+09,+5.43042518565E-05,+1.08851713895E-04
3.90320032003E+09,+5.45498163839E-05,+1.08654972716E-04
3.90330033003E+09,+5.41805509962E-05,+1.08721163362E-04
3.90340034003E+09,+5.44509462219E-05,+1.08869348750E-04
3.90350035004E+09,+5.42759281558E-05,+1.08484577462E-04
3.90360036004E+09,+5.45290383242E-05,+1.07774532415E-04
3.90370037004E+09,+5.46505018557E-05,+1.07815264661E-04
3.90380038004E+09,+5.41868814744E-05,+1.09370602644E-04
3.90390039004E+09,+5.45543429776E-05,+1.08146543222E-04
3.90400040004E+09,+5.48812336154E-05,+1.08599159825E-04
3.90410041004E+09,+5.50201492224E-05,+1.08793188242E-04
3.90420042004E+09,+5.44415601285E-05,+1.08492936940E-04
3.90430043004E+09,+5.49811242783E-05,+1.08322366246E-04
3.90440044004E+09,+5.59077157628E-05,+1.09483827255E-04
3.90450045005E+09,+5.64660724601E-05,+1.09333891302E-04
3.90460046005E+09,+5.62352908970E-05,+1.09622066523E-04
3.90470047005E+09,+5.72605567382E-05,+1.09344652597E-04
3.90480048005E+09,+5.79570261530E-05,+1.09194572704E-04
