Stimulus(s),S21(Real)
2.60000000000E-07,-2.36054335127E-09
2.60008000800E-07,-4.28110984064E-09
2.60016001600E-07,-5.99578953281E-09
2.60024002400E-07,-7.42286753036E-09
2.60032003200E-07,-8.49511259816E-09
2.60040004000E-07,-9.16292992410E-09
2.60048004800E-07,-9.39660286102E-09
2.60056005601E-07,-9.18752555389E-09
2.60064006401E-07,-8.54838120703E-09
2.60072007201E-07,-7.51227483066E-09
2.60080008001E-07,-6.13088177868E-09
2.60088008801E-07,-4.47172155952E-09
2.60096009601E-07,-2.61470787192E-09
2.60104010401E-07,-6.48158609483E-10
2.60112011201E-07,+1.33552777284E-09
2.60120012001E-07,+3.24431152278E-09
2.60128012801E-07,+4.99084817771E-09
2.60136013601E-07,+6.49651486317E-09
2.60144014401E-07,+7.69493949268E-09
2.60152015202E-07,+8.53487557790E-09
2.60160016002E-07,+8.98230179697E-09
2.60168016802E-07,+9.02166673132E-09
2.60176017602E-07,+8.65624299722E-09
2.60184018402E-07,+7.90759905228E-09
2.60192019202E-07,+6.81423901092E-09
2.60200020002E-07,+5.42949881891E-09
2.60208020802E-07,+3.81881936852E-09
2.60216021602E-07,+2.05654222272E-09
2.60224022402E-07,+2.22390619308E-10
2.60232023202E-07,-1.60219312048E-09
2.60240024002E-07,-3.33768276006E-09
2.60248024802E-07,-4.90991310399E-09
2.60256025603E-07,-6.25318748222E-09
2.60264026403E-07,-7.31292217421E-09
2.60272027203E-07,-8.04772860240E-09
2.60280028003E-07,-8.43086373284E-09
2.60288028803E-07,-8.45101030288E-09
2.60296029603E-07,-8.11237966347E-09
2.60304030403E-07,-7.43415970367E-09
2.60312031203E-07,-6.44935722066E-09
2.60320032003E-07,-5.20310716428E-09
2.60328032803E-07,-3.75053963677E-09
2.60336033603E-07,-2.15430889195E-09
2.60344034403E-07,-4.81896661845E-10
2.60352035204E-07,+1.19719496294E-09
2.60360036004E-07,+2.81424782864E-09
2.60368036804E-07,+4.30402219358E-09
2.60376037604E-07,+5.60724430040E-09
2.60384038404E-07,+6.67280274421E-09
2.60392039204E-07,+7.45958417816E-09
2.60400040004E-07,+7.93789501272E-09
2.60408040804E-07,+8.09043242069E-09
2.60416041604E-07,+7.91278452273E-09
